order_id,product_id,quantity,unit_price,item_total
ORDER_100000,PROD_5079,2,451.86,903.72
ORDER_100000,PROD_5034,1,860.23,860.23
ORDER_100000,PROD_5083,3,459.92,1379.76
ORDER_100001,PROD_5010,1,291.42,291.42
ORDER_100002,PROD_5171,2,723.12,1446.24
ORDER_100003,PROD_5067,3,362.53,1087.59
ORDER_100003,PROD_5067,3,362.53,1087.59
ORDER_100004,PROD_5005,1,154.26,154.26
ORDER_100004,PROD_5156,1,633.79,633.79
ORDER_100004,PROD_5123,2,50.15,100.3
ORDER_100004,PROD_5183,2,595.04,1190.08
ORDER_100004,PROD_5148,3,240.67,722.01
ORDER_100005,PROD_5103,3,416.25,1248.75
ORDER_100005,PROD_5046,3,201.46,604.38
ORDER_100005,PROD_5076,2,23.64,47.28
ORDER_100005,PROD_5021,1,607.8,607.8
ORDER_100006,PROD_5010,1,291.42,291.42
ORDER_100006,PROD_5096,2,364.58,729.16
ORDER_100007,PROD_5142,3,413.42,1240.26
ORDER_100008,PROD_5072,2,587.62,1175.24
ORDER_100008,PROD_5194,1,700.09,700.09
ORDER_100008,PROD_5170,1,477.09,477.09
ORDER_100008,PROD_5171,1,723.12,723.12
ORDER_100009,PROD_5023,1,106.34,106.34
ORDER_100009,PROD_5169,2,433.88,867.76
ORDER_100009,PROD_5102,2,198.82,397.64
ORDER_100009,PROD_5164,3,460.18,1380.54
ORDER_100009,PROD_5083,2,459.92,919.84
ORDER_100010,PROD_5187,2,235.47,470.94
ORDER_100010,PROD_5051,3,287.9,863.6999999999999
ORDER_100010,PROD_5074,2,474.28,948.56
ORDER_100010,PROD_5129,3,355.99,1067.97
ORDER_100011,PROD_5016,2,325.37,650.74
ORDER_100011,PROD_5115,2,527.3,1054.6
ORDER_100012,PROD_5027,2,609.33,1218.66
ORDER_100012,PROD_5107,2,530.65,1061.3
ORDER_100012,PROD_5138,1,230.65,230.65
ORDER_100012,PROD_5199,3,235.99,707.97
ORDER_100012,PROD_5082,3,178.19,534.5699999999999
ORDER_100013,PROD_5087,2,278.79,557.58
ORDER_100013,PROD_5185,3,259.32,777.96
ORDER_100014,PROD_5186,3,71.11,213.32999999999998
ORDER_100014,PROD_5133,2,426.88,853.76
ORDER_100014,PROD_5107,3,530.65,1591.9499999999998
ORDER_100015,PROD_5113,2,102.86,205.72
